John Doe,123-456-7890,john@example.com,Auto,ABC123
Jane Smith,987-654-3210,jane@example.com,Cab,XYZ789
Sam Johnson,555-123-4567,sam@example.com,Auto,DEF456
Emily Davis,111-222-3333,emily@example.com,Cab,GHI789
Alex Turner,999-888-7777,alex@example.com,Auto,JKL321
Olivia Martin,444-555-6666,olivia@example.com,Cab,MNO987
Daniel Lee,777-888-9999,daniel@example.com,Auto,PQR123
Sophia White,222-333-4444,sophia@example.com,Cab,STU456
Michael Brown,666-777-8888,michael@example.com,Auto,VWX789
Emma Miller,333-444-5555,emma@example.com,Cab,YZA321
